本日,本日,收盘价,成交量,流通市值,收盘价,成交金额
2606.1,608.4,6.01,69068513,16749246234,2598.8468,133415492779
2582,604.7,5.98,46520483,16665639348,2603.7995,137630180921
2582,599.5,5.91,45705020,16470556613,2603.2951,142082168653
2579.9,598.2,5.85,57101627,16303342840,2594.8255,166919412302
2579.9,598.2,6.05,79634907,16860722083,2654.8762,197309812993
2578.8,593.4,5.77,54203046,16080391143,2550.4652,130095922321
2578,591.5,5.63,47467206,15690225674,2486.4186,106576761128
2575.4,585,5.89,65915468,16414818689,2561.614,117388355749
2570.5,585.4,5.54,55570699,15439405015,2546.3296,106792245463
2562.6,584.5,5.49,38693723,15300060204,2568.0984,105214738288
2544.7,584,5.63,72142269,15690225674,2606.9125,142803208852
2544.7,583.3,5.62,46075667,15662356711,2583.4575,170057762479
2540.2,581.2,5.99,44717565,16693508310,2725.8367,111312455274
2536.1,574.7,5.8,30368550,16163998030,2721.013,110292457792
2536.1,574.5,5.84,41599164,16275473878,2716.5104,141531551815
2533.5,574.5,5.9,39319938,16442687651,2821.3501,125369989366
2530.5,575.2,6,29313587,16721377272,2791.7748,123447711570
2526.6,574.1,6.01,24350332,16749246234,2806.8133,145058769415
2522,574.1,5.98,24794202,16665639348,2781.1385,108528047807
2535.3,573.3,6.07,33195388,16916460007,2797.4848,148976357227
2507.3,573.8,5.93,23000256,16526294537,2729.2438,104875868898
2502.8,571.8,5.9,43773774,16442687651,2730.8503,140107010266
2499.7,569.5,5.86,50062322,16331211802,2699.9501,113031888611
2497.4,569.5,5.54,19628669,15439405015,2651.7886,86962599230
2495.9,568.6,5.69,24768189,15857439446,2681.6431,104992359992
2495.5,564.8,5.67,42059268,15801701522,2686.5784,112464143175
2494.3,566.5,5.59,55262582,15578749825,2656.1101,93448206178
2492.8,567.4,5.69,93158142,15857439446,2664.7997,96884582206
2485.9,567.8,6.28,22387998,17501708211,2669.4845,102860716593
2481,566.2,6.37,32640797,17752528870,2702.3007,113840071276
2480.1,565.6,6.19,18168316,17250887552,2691.5929,106266080205
2479.2,565.6,6.15,23100911,17139411704,2704.3368,107269446877
2479.2,566.3,6.41,23475103,17864004719,2750.5804,113708888022
2480.3,566.3,6.3,27728627,17557446136,2720.7344,104817687996
2483,564,6.41,33491123,17864004719,2725.2499,114813353928
2499.5,563.2,6.59,39388593,18365646037,2737.7367,106400401304
2499.5,563.2,6.9,19597290,19229583863,2769.2947,101220664882
2499.8,558.7,7.02,26997127,19564011408,2777.9808,125118576674
2499.8,563,6.91,24110713,19257452825,2780.899,141429679604
2494.4,562.4,6.8,18525897,18950894242,2729.4308,102665800479
2494,562.8,6.82,34572634,19006632166,2724.6244,107826017167
2481.8,561.2,6.99,26893809,19480404522,2714.6082,98463969945
2445.3,560.1,7.02,34012655,19564011408,2733.8264,122260216273
2444.3,558.5,7.12,30591824,19842701029,2698.4658,114047616372
2442.5,554.6,6.99,27514204,19480404522,2668.966,115499397043
2442.7,547.1,7.02,29667733,19564011408,2705.1917,117580994991
2442.7,555,7.01,47304865,19536142446,2723.2576,118707674074
2436.6,553.3,7.26,49539288,20232866499,2780.9646,112465397025
2436.6,552.3,7.51,57137443,20929590552,2785.872,129460540365
2430.3,549.2,7.27,41329297,20260735461,2795.3099,123112594331
2424.5,548.2,7.32,42829308,20400080272,2794.3818,151079880177
2420.9,546.1,7.29,54161056,20316473386,2744.0696,139969762845
2412.8,544.5,7.44,52255317,20734507817,2779.374,147259486359
